,,,,,,
Metrics by Sample Table,,,,,,
Client Label,Sample Type,Species Richness (number of OTUs),Number of OTUs named at species level,Fungal Functional Diversity,Evolutionary Diversity,Site
2023 C BP1 P1 S2,Client sample,120,11,1.3,39.99,Bedford Purlieus NNR
2023 C BP1 P1 S3,Client sample,64,12,0.84,28.57,Bedford Purlieus NNR
2023 C BP1 P1 S5,Client sample,105,12,1.06,42.87,Bedford Purlieus NNR
2023 C BP1 P2 S2,Client sample,191,28,1.56,57.72,Bedford Purlieus NNR
2023 C BP1 P2 S5,Client sample,224,36,1.65,70.23,Bedford Purlieus NNR
2023 C BP1 P3 S1,Client sample,152,24,1.33,48.74,Bedford Purlieus NNR
2023 C BP1 P3 S2,Client sample,82,18,1.21,35.82,Bedford Purlieus NNR
2023 C BP1 P3 S3,Client sample,123,25,1.36,53.59,Bedford Purlieus NNR
2023 C BP1 P3 S4,Client sample,220,41,1.54,67.59,Bedford Purlieus NNR
2023 C BP1 P3 S5,Client sample,202,31,1.57,64.48,Bedford Purlieus NNR
2023 C IG P1 S1,Client sample,191,27,1.58,64.46,Ingoldsby
2023 C IG P1 S2,Client sample,233,29,1.48,68.84,Ingoldsby
2023 C IG P1 S3,Client sample,174,30,1.56,54.37,Ingoldsby
2023 C IG P1 S4,Client sample,163,21,1.44,47.76,Ingoldsby
2023 C IG P1 S5,Client sample,173,24,1.52,50.42,Ingoldsby
2023 C IG P2 S1,Client sample,109,15,1.31,43.05,Ingoldsby
2023 C IG P2 S2,Client sample,173,22,1.69,55.36,Ingoldsby
2023 C IG P2 S3,Client sample,76,11,1.19,30.72,Ingoldsby
2023 C IG P2 S4,Client sample,86,11,0.8,32.9,Ingoldsby
2023 C IG P2 S5,Client sample,112,20,1.44,47.9,Ingoldsby
2023 C IG P3 S1,Client sample,50,10,0.98,24.86,Ingoldsby
2023 C IG P3 S2,Client sample,141,26,1.32,49.66,Ingoldsby
2023 C IG P3 S3,Client sample,132,28,1.38,44.54,Ingoldsby
2023 C IG P3 S4,Client sample,73,12,1.04,32.52,Ingoldsby
2023 C IG P3 S5,Client sample,133,24,1.44,49.36,Ingoldsby
2023 E CC1 P1 S1,Client sample,167,29,1.3,50.02,Cranwich Camp
2023 E CC1 P1 S2,Client sample,83,13,1.09,28.17,Cranwich Camp
2023 E CC1 P1 S3,Client sample,58,10,0.88,25.35,Cranwich Camp
2023 E CC1 P1 S4,Client sample,117,19,1.34,36.2,Cranwich Camp
2023 E CC1 P1 S5,Client sample,59,7,0.9,20.69,Cranwich Camp
2023 E CC1 P2 S1,Client sample,55,11,1.19,21.67,Cranwich Camp
2023 E CC1 P2 S2,Client sample,134,19,1.38,43.04,Cranwich Camp
2023 E CC1 P2 S3,Client sample,104,15,1.02,27.56,Cranwich Camp
2023 E CC1 P2 S4,Client sample,117,16,1.12,40.64,Cranwich Camp
2023 E CC1 P2 S5,Client sample,142,22,1.34,43.41,Cranwich Camp
2023 E CC1 P3 S1,Client sample,130,17,1.23,38.57,Cranwich Camp
2023 E CC1 P3 S2,Client sample,89,17,1.15,27.63,Cranwich Camp
2023 E CC1 P3 S3,Client sample,124,16,1.17,34.92,Cranwich Camp
2023 E CC1 P3 S4,Client sample,98,11,1.13,34.16,Cranwich Camp
2023 E CC1 P3 S5,Client sample,102,16,1.1,31.46,Cranwich Camp
2023 E DH1 P1 S1,Client sample,119,23,1.24,38.65,Dunwich
2023 E DH1 P1 S2,Client sample,89,18,1.05,34.96,Dunwich
2023 E DH1 P1 S3,Client sample,102,21,1.42,38.37,Dunwich
2023 E DH1 P1 S4,Client sample,116,24,1.13,37.13,Dunwich
2023 E DH1 P1 S5,Client sample,89,24,1.13,32.01,Dunwich
2023 E DH1 P10 S1,Client sample,107,17,1.32,38.98,Dunwich
2023 E DH1 P10 S2,Client sample,96,21,0.88,34.35,Dunwich
2023 E DH1 P10 S3,Client sample,89,17,1.26,34.67,Dunwich
2023 E DH1 P10 S4,Client sample,120,27,1.25,40.08,Dunwich
2023 E DH1 P10 S5,Client sample,115,23,1.35,40.14,Dunwich
2023 E DH1 P2 S1,Client sample,121,36,1.16,42.49,Dunwich
2023 E DH1 P2 S2,Client sample,121,21,1.45,42.92,Dunwich
2023 E DH1 P2 S3,Client sample,149,35,1.59,47.87,Dunwich
2023 E DH1 P2 S4,Client sample,124,27,1.26,45.66,Dunwich
2023 E DH1 P2 S5,Client sample,133,21,1.4,49.39,Dunwich
2023 E DH1 P3 S1,Client sample,129,30,1.32,47.15,Dunwich
2023 E DH1 P3 S2,Client sample,99,18,0.87,34.4,Dunwich
2023 E DH1 P3 S3,Client sample,139,31,1.45,45.46,Dunwich
2023 E DH1 P3 S4,Client sample,84,19,0.99,29.36,Dunwich
