,,,,,
Metrics by Sample Table,,,,,
Client Label,Sample Type,Species Richness (number of OTUs),Number of OTUs named at species level,Evolutionary Diversity,Site
2023 C BP1 P1 S2,Client sample,33,6,3.69,Bedford Purlieus NNR
2023 C BP1 P1 S3,Client sample,5,0,0.66,Bedford Purlieus NNR
2023 C BP1 P1 S5,Client sample,20,4,3.87,Bedford Purlieus NNR
2023 C BP1 P2 S2,Client sample,42,9,5.68,Bedford Purlieus NNR
2023 C BP1 P2 S5,Client sample,20,1,3.7,Bedford Purlieus NNR
2023 C BP1 P3 S1,Client sample,46,8,6.4,Bedford Purlieus NNR
2023 C BP1 P3 S2,Client sample,42,5,6.12,Bedford Purlieus NNR
2023 C BP1 P3 S3,Client sample,24,1,4.02,Bedford Purlieus NNR
2023 C BP1 P3 S4,Client sample,45,7,6.12,Bedford Purlieus NNR
2023 C BP1 P3 S5,Client sample,39,7,4.37,Bedford Purlieus NNR
2023 C IG P1 S1,Client sample,15,2,3.16,Ingoldsby
2023 C IG P1 S2,Client sample,15,2,3.05,Ingoldsby
2023 C IG P1 S3,Client sample,36,5,5.16,Ingoldsby
2023 C IG P1 S4,Client sample,39,9,5.07,Ingoldsby
2023 C IG P1 S5,Client sample,38,6,4.75,Ingoldsby
2023 C IG P2 S1,Client sample,12,4,2.97,Ingoldsby
2023 C IG P2 S2,Client sample,42,7,6.08,Ingoldsby
2023 C IG P2 S3,Client sample,36,7,5.45,Ingoldsby
2023 C IG P2 S4,Client sample,25,2,4.79,Ingoldsby
2023 C IG P2 S5,Client sample,13,2,3.18,Ingoldsby
2023 C IG P3 S1,Client sample,18,2,3,Ingoldsby
2023 C IG P3 S2,Client sample,8,1,1.4,Ingoldsby
2023 C IG P3 S3,Client sample,35,7,5.22,Ingoldsby
2023 C IG P3 S4,Client sample,27,3,4.69,Ingoldsby
2023 C IG P3 S5,Client sample,22,4,2.96,Ingoldsby
2023 E CC1 P1 S1,Client sample,17,4,2.54,Cranwich Camp
2023 E CC1 P1 S2,Client sample,29,8,4.03,Cranwich Camp
2023 E CC1 P1 S3,Client sample,23,2,3.64,Cranwich Camp
2023 E CC1 P1 S4,Client sample,24,4,3.95,Cranwich Camp
2023 E CC1 P1 S5,Client sample,27,5,3.18,Cranwich Camp
2023 E CC1 P2 S1,Client sample,14,3,2.82,Cranwich Camp
2023 E CC1 P2 S2,Client sample,24,3,3.69,Cranwich Camp
2023 E CC1 P2 S3,Client sample,22,5,3.63,Cranwich Camp
2023 E CC1 P2 S4,Client sample,7,0,1.37,Cranwich Camp
2023 E CC1 P2 S5,Client sample,32,6,3.94,Cranwich Camp
2023 E CC1 P3 S1,Client sample,29,5,4.45,Cranwich Camp
