,,,,,
Metrics by Sample Table,,,,,
Client Label,Sample Type,Species Richness (number of OTUs),Number of OTUs named at species level,Evolutionary Diversity,Site
2023 C BP1 P1 S2,Client sample,5,0,0.95,Bedford Purlieus NNR
2023 C BP1 P1 S3,Client sample,10,1,1.86,Bedford Purlieus NNR
2023 C BP1 P1 S5,Client sample,13,0,1.69,Bedford Purlieus NNR
2023 C BP1 P2 S2,Client sample,21,1,3.18,Bedford Purlieus NNR
2023 C BP1 P2 S5,Client sample,3,1,0.47,Bedford Purlieus NNR
2023 C BP1 P3 S1,Client sample,19,4,2.96,Bedford Purlieus NNR
2023 C BP1 P3 S2,Client sample,23,10,3.71,Bedford Purlieus NNR
2023 C BP1 P3 S3,Client sample,8,0,1.47,Bedford Purlieus NNR
2023 C BP1 P3 S4,Client sample,16,1,2.69,Bedford Purlieus NNR
2023 C BP1 P3 S5,Client sample,15,3,2.56,Bedford Purlieus NNR
2023 C IG P1 S1,Client sample,11,1,1.47,Ingoldsby
2023 C IG P1 S2,Client sample,6,1,1.09,Ingoldsby
2023 C IG P1 S3,Client sample,8,1,1.14,Ingoldsby
2023 C IG P1 S4,Client sample,18,3,2.92,Ingoldsby
2023 C IG P1 S5,Client sample,20,4,2.49,Ingoldsby
2023 C IG P2 S1,Client sample,7,0,1.28,Ingoldsby
2023 C IG P2 S2,Client sample,10,1,1.32,Ingoldsby
2023 C IG P2 S3,Client sample,8,2,1.16,Ingoldsby
2023 C IG P2 S4,Client sample,11,3,1.55,Ingoldsby
2023 C IG P2 S5,Client sample,5,0,0.83,Ingoldsby
2023 C IG P3 S1,Client sample,8,1,1.32,Ingoldsby
2023 C IG P3 S2,Client sample,6,2,0.65,Ingoldsby
2023 C IG P3 S3,Client sample,19,2,3.07,Ingoldsby
2023 C IG P3 S4,Client sample,9,0,1.4,Ingoldsby
2023 C IG P3 S5,Client sample,7,1,1.21,Ingoldsby
2023 E CC1 P1 S1,Client sample,16,0,2.27,Cranwich Camp
2023 E CC1 P1 S2,Client sample,12,1,1.64,Cranwich Camp
2023 E CC1 P1 S3,Client sample,8,3,1.5,Cranwich Camp
2023 E CC1 P1 S4,Client sample,26,2,3.54,Cranwich Camp
2023 E CC1 P1 S5,Client sample,5,0,1,Cranwich Camp
2023 E CC1 P2 S1,Client sample,8,1,1.52,Cranwich Camp
2023 E CC1 P2 S2,Client sample,20,2,2.88,Cranwich Camp
2023 E CC1 P2 S3,Client sample,13,0,2.05,Cranwich Camp
2023 E CC1 P2 S4,Client sample,12,1,2.02,Cranwich Camp
2023 E CC1 P2 S5,Client sample,11,0,1.36,Cranwich Camp
2023 E CC1 P3 S1,Client sample,15,1,2.06,Cranwich Camp
2023 E CC1 P3 S2,Client sample,11,1,1.79,Cranwich Camp
2023 E CC1 P3 S3,Client sample,29,2,3.75,Cranwich Camp
2023 E CC1 P3 S4,Client sample,11,2,1.76,Cranwich Camp
2023 E CC1 P3 S5,Client sample,7,1,1.01,Cranwich Camp
2023 E DH1 P1 S1,Client sample,11,3,1.92,Dunwich
2023 E DH1 P1 S2,Client sample,10,1,1.51,Dunwich
2023 E DH1 P1 S3,Client sample,12,4,1.74,Dunwich
2023 E DH1 P1 S4,Client sample,15,2,2.53,Dunwich
2023 E DH1 P1 S5,Client sample,14,4,2.37,Dunwich
2023 E DH1 P10 S1,Client sample,18,3,2.39,Dunwich
2023 E DH1 P10 S2,Client sample,14,7,2.29,Dunwich
2023 E DH1 P10 S3,Client sample,12,4,2.08,Dunwich
2023 E DH1 P10 S4,Client sample,13,5,2.21,Dunwich
